企業名,キャッチコピー,ステータス,初年度年収
株式会社レジデンシャル不動産 | 不動産再生ビジネスを展開し6年で売上19億から171億円に急成長！,【社内ITサポート】残業月20時間程度／月給25万円以上 正社員,正社員,315万円～420万円
株式会社ジャストワーク | 働きやすさ◎／土日祝休み／有給消化率70%,【業務フロー企画・進行管理】◎有名企業担当◎未経験OK 正社員,正社員,330万円～500万円
富士通株式会社,【システムエンジニア】ITコンサル、PM、先端技術(AI、IoT等) 正社員,正社員,
株式会社セブン銀行 | 東証一部上場★「セブン＆アイグループ」の新しい業態の銀行,世の中の“当たり前”をつくる【SE(プロジェクトマネージャー)】 正社員,正社員,500万円～850万円
株式会社ソニー・ミュージックソリューションズ,【ITエンジニア】SE(WEB/モバイル/デジタルサイネージ) 契約社員,契約社員,
TIS株式会社 | 東証一部上場◆国内最大級プライムSIer◆サービス事業拡大中,ITエンジニア（アプリケーション開発／SE・PM・アーキテクト） 正社員,正社員,500万円～900万円
HRNAVI JOINT STOCK COMPANY | ベトナムでの転職に特化した人材紹介会社です！,日越を繋ぐ！【ブリッジSE／SE】※ベトナム勤務※語学不問 人材バンク登録,人材バンク登録,
株式会社三菱UFJ銀行,【システム企画・開発（Web・オープン系/汎用系/基盤系など）】 正社員,正社員,
株式会社ユー・エス・ケイ | 独自のビジネスモデルが、経営情報誌にも取り上げられています！,医療情報システム導入に携る【インストラクター】完全週休2日制 正社員,正社員,
株式会社日立コンサルティング,【ビジネスコンサルタント（公共系）】 正社員,正社員,400万円～1500万円
アビームコンサルティング株式会社,【インダストリーコンサルタント（金融業界）】 正社員,正社員,600万円～1500万円
"ICONIC CO., LTD. | ”海外発”アジア・グローバルキャリアの転職サポート会社です！",日系大手グループ【ITインフラ法人営業】商材知識は入社後でOK★ 人材バンク登録,人材バンク登録,280万円～380万円
株式会社滋賀銀行,滋賀県トップクラスシェアを誇る地銀の【社内SE】U/Iターン歓迎 正社員,正社員,300万円～500万円
株式会社FMC | 《ふれあいグループ》病院/クリニック/福祉施設などを多数運営,大規模医療グループの【社内SE】 ★システム開発経験者大歓迎！ 正社員,正社員,350万円～500万円
株式会社CROSS ONE | ■リモート勤務実績多数■案件自由選択■WEB面接で最短当日内定,【SE・PG】経験者は前給保障！エンジニアへの還元を最優先！ 正社員,正社員,300万円～500万円
株式会社ゲームフリーク,『ポケモン』シリーズ 企画・開発会社での【情報システム担当】 正社員,正社員,500万円～800万円
株式会社南日本銀行 | ＜ 創業100年以上 ＞鹿児島トップクラスを誇る地方銀行,【総合職（営業／社内SE）】★年間休日120日★社宅制度あり 正社員,正社員,
株式会社AJIOKA | 創業100以上の老舗企業：年間休日122日,若手活躍中！革製品『GANZO』の魅力を発信【ショップスタッフ】 契約社員,契約社員,240万円～300万円
